model,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,roc_auc_weighted_ovr,high_precision,high_recall,high_f1,param_C,param_class_weight,param_solver,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators
random_forest,0.8823529411764706,0.88205736864412,0.8823529411764706,0.8821328129467814,0.8818740937013105,0.9703254260701613,0.8757062146892656,0.8516483516483516,0.8635097493036211,,,,20.0,log2,2.0,2.0,200.0
random_forest,0.8823529411764706,0.88205736864412,0.8823529411764706,0.8821328129467814,0.8818740937013105,0.9703254260701613,0.8757062146892656,0.8516483516483516,0.8635097493036211,,,,20.0,log2,2.0,4.0,200.0
random_forest,0.8809849521203831,0.8816558345588018,0.8809849521203831,0.8805438401222228,0.8816663326622581,0.9704505935946599,0.8383838383838383,0.9120879120879121,0.8736842105263158,,balanced,,10.0,sqrt,1.0,8.0,600.0
random_forest,0.8809849521203831,0.8816558345588018,0.8809849521203831,0.8805438401222228,0.8816663326622581,0.9704505935946599,0.8383838383838383,0.9120879120879121,0.8736842105263158,,balanced,,10.0,log2,1.0,8.0,600.0
random_forest,0.8823529411764706,0.8823535488221111,0.8823529411764706,0.8822724433809147,0.8816552718184879,0.9705830574140487,0.875,0.8461538461538461,0.8603351955307262,,,,20.0,sqrt,2.0,2.0,400.0
random_forest,0.8823529411764706,0.8823535488221111,0.8823529411764706,0.8822724433809147,0.8816552718184879,0.9705830574140487,0.875,0.8461538461538461,0.8603351955307262,,,,20.0,sqrt,2.0,4.0,400.0
random_forest,0.8823529411764706,0.8823535488221111,0.8823529411764706,0.8822724433809147,0.8816552718184879,0.9705814886192596,0.875,0.8461538461538461,0.8603351955307262,,,,20.0,log2,2.0,2.0,400.0
random_forest,0.8823529411764706,0.8823535488221111,0.8823529411764706,0.8822724433809147,0.8816552718184879,0.9705814886192596,0.875,0.8461538461538461,0.8603351955307262,,,,20.0,log2,2.0,4.0,400.0
random_forest,0.8809849521203831,0.8814215241193871,0.8809849521203831,0.8805920579776476,0.8816208243160836,0.9700837874075787,0.8418367346938775,0.9065934065934066,0.873015873015873,,balanced,,10.0,sqrt,1.0,2.0,200.0
random_forest,0.8809849521203831,0.8814215241193871,0.8809849521203831,0.8805920579776476,0.8816208243160836,0.9700837874075787,0.8418367346938775,0.9065934065934066,0.873015873015873,,balanced,,10.0,log2,1.0,2.0,200.0
random_forest,0.8823529411764706,0.8819212106100924,0.8823529411764706,0.8820886484403532,0.8815067773976061,0.9721171256955367,0.861878453038674,0.8571428571428571,0.859504132231405,,,,,sqrt,1.0,2.0,200.0
random_forest,0.8823529411764706,0.8819212106100924,0.8823529411764706,0.8820886484403532,0.8815067773976061,0.9721171256955367,0.861878453038674,0.8571428571428571,0.859504132231405,,,,,log2,1.0,2.0,200.0
random_forest,0.8823529411764706,0.8819386817092115,0.8823529411764706,0.8820963001934365,0.8814137125045977,0.9728675979903817,0.8659217877094972,0.8516483516483516,0.8587257617728532,,,,20.0,sqrt,1.0,4.0,400.0
random_forest,0.8823529411764706,0.8819386817092115,0.8823529411764706,0.8820963001934365,0.8814137125045977,0.9728675979903817,0.8659217877094972,0.8516483516483516,0.8587257617728532,,,,20.0,log2,1.0,4.0,400.0
random_forest,0.8823529411764706,0.8819386817092115,0.8823529411764706,0.8820963001934365,0.8814137125045977,0.9726599156448825,0.8659217877094972,0.8516483516483516,0.8587257617728532,,,,20.0,sqrt,1.0,2.0,200.0
random_forest,0.8823529411764706,0.8819386817092115,0.8823529411764706,0.8820963001934365,0.8814137125045977,0.9726599156448825,0.8659217877094972,0.8516483516483516,0.8587257617728532,,,,20.0,log2,1.0,2.0,200.0
random_forest,0.8809849521203831,0.8813296310427242,0.8809849521203831,0.8805782341586547,0.8813251048219849,0.9697594289891571,0.841025641025641,0.9010989010989011,0.870026525198939,,balanced,,20.0,sqrt,2.0,8.0,600.0
random_forest,0.8809849521203831,0.8813296310427242,0.8809849521203831,0.8805782341586547,0.8813251048219849,0.9697594289891571,0.841025641025641,0.9010989010989011,0.870026525198939,,balanced,,20.0,log2,2.0,8.0,600.0
random_forest,0.8809849521203831,0.8818069612870096,0.8809849521203831,0.8807091674948679,0.8812990132785754,0.9698812194829785,0.8333333333333334,0.9065934065934066,0.868421052631579,,balanced,,20.0,sqrt,2.0,8.0,200.0
random_forest,0.8809849521203831,0.8818069612870096,0.8809849521203831,0.8807091674948679,0.8812990132785754,0.9698812194829785,0.8333333333333334,0.9065934065934066,0.868421052631579,,balanced,,20.0,log2,2.0,8.0,200.0
random_forest,0.8809849521203831,0.8818069612870096,0.8809849521203831,0.8807091674948679,0.8812990132785754,0.9696919390566833,0.8333333333333334,0.9065934065934066,0.868421052631579,,balanced,,,sqrt,2.0,8.0,200.0
random_forest,0.8809849521203831,0.8818069612870096,0.8809849521203831,0.8807091674948679,0.8812990132785754,0.9696919390566833,0.8333333333333334,0.9065934065934066,0.868421052631579,,balanced,,,log2,2.0,8.0,200.0
random_forest,0.8809849521203831,0.8809663471724766,0.8809849521203831,0.8806559794677473,0.8812113539203114,0.9715799445771053,0.8481675392670157,0.8901098901098901,0.868632707774799,,balanced,,20.0,sqrt,1.0,4.0,600.0
random_forest,0.8809849521203831,0.8809663471724766,0.8809849521203831,0.8806559794677473,0.8812113539203114,0.9715799445771053,0.8481675392670157,0.8901098901098901,0.868632707774799,,balanced,,20.0,log2,1.0,4.0,600.0
random_forest,0.8809849521203831,0.8814644869780778,0.8809849521203831,0.8805181630934577,0.8810786127282272,0.9711259705076122,0.8367346938775511,0.9010989010989011,0.8677248677248677,,balanced,,,sqrt,1.0,8.0,400.0
random_forest,0.8809849521203831,0.8814644869780778,0.8809849521203831,0.8805181630934577,0.8810786127282272,0.9711259705076122,0.8367346938775511,0.9010989010989011,0.8677248677248677,,balanced,,,log2,1.0,8.0,400.0
random_forest,0.8809849521203831,0.8814644869780778,0.8809849521203831,0.8805181630934577,0.8810786127282272,0.9711046754002037,0.8367346938775511,0.9010989010989011,0.8677248677248677,,balanced,,20.0,sqrt,1.0,8.0,400.0
random_forest,0.8809849521203831,0.8814644869780778,0.8809849521203831,0.8805181630934577,0.8810786127282272,0.9711046754002037,0.8367346938775511,0.9010989010989011,0.8677248677248677,,balanced,,20.0,log2,1.0,8.0,400.0
random_forest,0.8823529411764706,0.8818543409015686,0.8823529411764706,0.882029132951404,0.8810497307440053,0.9714435589055337,0.8651685393258427,0.8461538461538461,0.8555555555555555,,,,20.0,sqrt,1.0,4.0,200.0
